subj_idx,response,rt,condition
1,0,1.883,5
1,1,1.71,7
1,1,1.561,4
1,1,2.301,7
1,1,1.506,4
1,0,1.788,5
1,0,2.618,5
1,1,1.662,3
1,1,2.947,7
1,1,1.883,2
1,1,1.721,1
1,1,1.484,4
1,1,2.545,7
1,0,1.999,3
1,1,2.237,8
1,1,2.668,2
1,1,2.022,1
1,1,2.164,5
1,1,1.716,6
1,1,2.763,5
1,1,2.36,1
1,0,2.447,6
1,0,2.595,6
1,1,1.907,2
1,1,1.756,2
1,1,1.613,5
1,1,1.838,4
1,1,1.683,2
1,1,1.862,2
1,1,1.568,3
1,1,1.705,6
1,1,1.469,8
1,1,2.228,6
1,1,1.858,3
1,1,2.462,5
1,1,1.692,7
1,1,1.685,1
1,1,1.854,6
1,1,1.729,2
1,1,1.681,6
1,1,1.513,6
1,1,2.23,5
1,1,1.61,4
1,1,1.767,4
1,1,1.653,6
1,1,1.546,4
1,1,1.741,6
1,0,2.81,5
1,0,2.145,5
1,1,2.154,2
1,1,1.649,3
1,1,1.688,6
1,1,1.824,1
1,1,2.107,8
1,0,1.612,5
1,1,1.466,3
1,1,1.611,6
1,1,1.801,5
1,1,1.618,2
1,1,1.672,2
1,1,1.646,1
1,0,1.683,5
1,1,1.822,1
1,1,1.615,3
1,1,2.645,6
1,1,1.769,5
1,0,1.599,5
1,1,1.518,3
1,1,1.608,7
1,1,1.615,2
1,0,1.735,7
1,1,1.845,7
1,0,1.714,1
1,1,2.936,1
1,1,1.566,6
1,1,2.461,5
1,1,1.955,5
1,1,1.55,5
1,1,1.532,3
1,1,1.512,2
1,1,1.679,6
1,0,2.958,7
1,1,1.513,3
1,1,1.545,3
1,1,1.722,7
1,1,1.654,6
1,1,1.93,8
1,0,2.167,1
1,1,1.523,2
1,1,1.693,7
1,1,1.665,1
1,1,1.634,5
1,1,1.546,8
1,1,1.581,2
1,1,1.704,7
1,1,1.603,1
1,1,1.731,3
1,1,1.856,2
1,1,2.295,7
1,1,1.643,6
1,1,1.738,1
1,0,1.761,5
1,0,2.418,6
1,1,2.116,5
1,1,1.639,6
1,1,1.576,3
1,1,1.603,3
1,1,2.566,8
1,1,1.811,3
1,0,1.773,2
1,1,1.58,4
1,1,1.737,1
1,1,1.848,6
1,1,1.555,3
1,1,1.545,3
1,1,1.481,3
1,1,1.567,7
1,0,2.367,6
1,1,2.274,3
1,1,1.959,5
1,1,1.687,3
1,0,1.822,7
1,1,2.289,2
1,1,1.731,3
1,1,1.978,2
1,1,1.51,3
1,1,1.533,3
1,1,1.66,3
1,1,1.925,8
1,1,1.627,7
1,1,2.367,3
1,1,1.638,7
1,1,1.486,3
1,1,1.752,7
1,0,2.008,1
1,1,1.604,2
1,1,1.464,2
1,1,1.495,4
1,1,1.551,4
1,0,2.018,1
1,1,1.588,7
1,1,2.172,1
1,1,1.71,6
1,1,1.577,1
1,1,1.541,3
1,1,1.431,2
1,1,1.561,8
1,1,1.768,5
1,0,1.742,1
1,0,2.205,2
1,1,1.866,5
1,1,1.522,7
1,1,1.591,7
1,1,1.527,4
1,1,2.196,6
1,1,1.658,1
1,0,1.75,5
1,0,2.258,8
1,1,1.94,5
1,1,1.666,6
1,1,2.111,1
1,0,1.893,5
1,1,2.601,2
1,1,1.71,6
1,1,1.595,2
1,1,1.739,3
1,0,1.557,6
1,1,2.22,4
1,1,1.865,3
1,0,1.733,5
1,0,2.18,5
1,1,2.135,5
1,0,1.904,6
1,1,1.6,4
1,1,1.48,3
1,1,1.526,8
1,1,1.732,2
1,1,2.36,1
1,1,1.506,7
1,1,1.555,2
1,1,2.05,1
1,0,1.899,1
1,1,1.848,2
1,1,1.938,2
1,0,2.035,5
1,1,1.879,4
1,1,1.545,1
1,0,2.122,6
1,0,1.702,5
1,1,1.925,2
1,1,1.917,3
1,1,1.556,3
1,1,1.567,3
1,1,1.82,3
1,1,1.725,1
1,0,2.932,6
1,1,1.609,3
1,0,1.648,7
1,1,1.693,1
1,1,1.969,2
1,1,1.982,7
1,1,1.864,2
1,1,1.781,6
1,0,2.921,5
1,1,1.765,3
1,1,1.747,5
1,1,3.012,7
1,1,1.579,3
1,0,2.231,5
1,1,1.623,1
1,1,1.47,3
1,1,2.152,7
1,1,1.777,5
1,1,1.702,3
1,1,1.587,7
1,1,1.675,6
1,0,1.805,5
1,1,1.648,7
1,1,1.589,8
1,1,1.545,2
1,0,2.529,1
1,1,1.569,4
