subj_idx,response,rt,condition
1,1,1.937,1
1,1,2.219,5
1,0,1.75,6
1,0,1.693,5
1,1,1.751,6
1,1,1.514,5
1,1,1.788,2
1,1,2.762,1
1,1,1.763,2
1,0,1.816,5
1,1,2.246,5
1,1,1.882,1
1,1,1.621,2
1,1,1.891,6
1,1,2.732,6
1,1,1.845,2
1,1,1.784,6
1,1,1.973,6
1,1,1.892,5
1,0,2.323,1
1,1,2.033,5
1,1,1.994,2
1,1,1.768,2
1,1,1.845,1
1,1,1.633,2
1,0,2.138,1
1,1,2.089,1
1,0,2.461,5
1,1,2.736,6
1,1,2.089,5
1,1,2.048,1
1,1,2.186,6
1,1,1.783,2
1,1,2.106,2
1,1,1.79,2
1,1,1.829,2
1,1,2.063,1
1,1,1.574,2
1,1,2.186,6
1,1,2.678,6
1,1,2.254,2
1,0,1.846,1
1,1,2.139,5
1,1,2.84,2
1,1,2.251,1
1,1,1.882,2
1,1,1.61,5
1,1,1.655,2
1,0,2.347,1
1,1,1.804,2
1,1,1.849,5
1,0,2.389,1
1,1,1.929,5
1,0,1.599,5
1,1,1.637,2
1,0,2.421,6
1,1,1.868,6
1,1,1.836,2
1,1,1.596,2
1,0,2.54,6
1,1,2.438,6
1,1,2.157,1
1,1,2.503,6
1,0,2.215,5
1,1,1.899,1
1,1,1.731,2
1,1,2.088,5
1,1,1.89,6
1,1,2.102,6
1,1,1.77,5
1,1,2.155,1
1,0,1.709,5
1,0,2.4,1
1,1,1.717,2
1,1,1.594,2
1,1,2.269,1
1,1,1.608,2
1,1,2.1,1
1,1,1.717,1
1,0,2.325,5
1,1,1.729,2
1,0,2.084,5
1,1,1.934,1
1,1,1.737,5
1,1,1.695,6
1,1,1.706,6
1,1,1.567,6
1,0,1.926,1
1,1,1.657,1
1,0,1.88,5
1,1,2.504,1
1,1,1.806,1
1,0,2.63,5
1,1,2.114,1
1,1,2.336,1
1,0,1.772,5
1,0,2.874,1
1,0,2.059,5
1,0,2.632,5
1,0,1.709,5
1,1,1.571,6
1,1,1.693,5
1,1,1.614,2
1,0,2.049,5
1,1,1.627,1
1,1,2.493,6
1,1,1.714,6
1,1,1.771,5
1,0,1.947,5
1,1,1.667,1
1,1,1.583,2
1,0,1.872,1
1,1,1.697,2
1,1,1.653,2
1,1,1.615,2
1,1,1.816,5
1,1,2.121,2
1,1,1.732,5
1,1,1.67,6
1,0,2.11,5
1,0,1.537,5
1,1,2.012,1
1,0,1.698,5
1,1,1.997,1
1,0,2.4,1
1,1,1.691,1
1,1,1.7,2
1,0,2.182,1
1,1,1.883,6
1,1,1.943,5
1,1,1.709,6
1,0,2.085,6
1,1,1.803,6
1,0,1.905,5
1,0,1.784,6
1,1,1.63,1
1,1,1.689,6
1,1,1.619,5
1,0,1.616,6
1,1,1.682,2
1,0,1.615,6
1,1,1.682,5
1,1,1.662,6
1,1,1.53,5
1,0,2.241,1
1,0,1.777,6
1,1,1.591,1
